#,Product Name,Accounting,DNOB,Use By,Derived From,Cut/Primal,Yield %,Category,Marble,Weight (G),Unit of Measure,SalesUnitPrice
,WAGYU GOOSE SKIRT,2612,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU INSIDE SKIRT,5491,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU FLANK 70VL,5241,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU CHUCK DENVER,3378,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU BONELESS SHORT RIBS,5543,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU NAVEL END BRISKET,5631,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU FLAT IRON,2610,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU CHUCK EYE ROLL,5656,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU CHUCK TAIL FLAP,5610,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU POINT END BRISKET,5632,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU CHUCK TRIMMINGS,5486,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU FILLET,2607,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU STRIPLOIN,2608,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU RIBEYE,2606,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU RIB CAP,5633,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU RUMP,2609,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU TRI TIP,5615,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU TOPSIDE,2613,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU TRIM (80VL),2605,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU BONE IN SHIN (HQ),5600,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU BUTT TENDER,5653,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU TOMAHAWK,5314,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU RUMP CAP,3394,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU OUTSIDE FLAT,2614,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU BONELESS (HQ),5318,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU COTE DE BEOUF,4993,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU RUMP HEART,3393,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU SILVERSIDE BED,3395,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU SILVERSIDE SALMON/EYE ROUND,3396,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU TOP RUMP/KNUCKLE,2615,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU PAT KNUCKLE,5459,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU PAT LMC,2620,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU PAT SILVERSIDE BED,3957,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU PAT SILVERSIDE SALMON/EYE ROUND,3963,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU PAT TRI TIP,3408,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU PAT TOPSIDE,3956,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU DENUDED (PAT) SIRLOIN,5591,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU PAT OYSTER BLADE,5672,,,,Primal,,Warrendale,,1000,Per KG,
,WAGYU PAT BRISKET,5670,,,,Primal,,Warrendale,,1000,Per KG,
